dataset,dim,N,library,build_ms,query_us,recall
kitti,3,50000,proposed,4.348,0.2763,1.0000
kitti,3,50000,flann_kdtree,4.746,0.3510,1.0000
kitti,3,50000,libnabo,6.086,8.9245,1.0000
kitti,3,50000,pico_tree,4.122,0.2586,1.0000
kitti,3,50000,fastann,0.003,163.8430,1.0000
kitti,3,50000,pcl_kdtree,4.970,1.0290,1.0000
kitti,3,50000,libkdtree,40.709,0.7415,1.0000
kitti,3,50000,brute_force,0.000,85.8925,1.0000
kitti,3,100000,proposed,7.855,0.3073,1.0000
kitti,3,100000,flann_kdtree,8.820,0.4246,1.0000
kitti,3,100000,libnabo,12.741,7.2743,1.0000
kitti,3,100000,pico_tree,7.571,0.2817,1.0000
kitti,3,100000,fastann,0.000,328.1930,1.0000
kitti,3,100000,pcl_kdtree,9.127,1.0877,1.0000
kitti,3,100000,libkdtree,89.022,1.5934,1.0000
kitti,3,100000,brute_force,0.000,172.9826,1.0000
kitti,3,250000,proposed,21.279,0.3992,1.0000
kitti,3,250000,flann_kdtree,25.213,0.6701,1.0000
kitti,3,250000,libnabo,33.510,7.6246,1.0000
kitti,3,250000,pico_tree,20.714,0.4221,1.0000
kitti,3,250000,fastann,0.001,814.2779,1.0000
kitti,3,250000,pcl_kdtree,26.251,1.3139,1.0000
kitti,3,250000,libkdtree,253.086,2.0928,1.0000
kitti,3,250000,brute_force,0.000,427.1873,1.0000
kitti,3,500000,proposed,45.838,0.7203,1.0000
kitti,3,500000,flann_kdtree,54.714,0.8429,1.0000
kitti,3,500000,libnabo,69.398,8.1160,1.0000
kitti,3,500000,pico_tree,43.412,0.7118,1.0000
kitti,3,500000,fastann,0.001,1656.0649,1.0000
kitti,3,500000,pcl_kdtree,61.461,1.6226,1.0000
kitti,3,500000,libkdtree,546.400,3.1032,1.0000
kitti,3,500000,brute_force,0.000,873.6356,1.0000
kitti,3,1000000,proposed,99.542,0.9916,1.0000
kitti,3,1000000,flann_kdtree,131.968,1.0233,1.0000
kitti,3,1000000,libnabo,150.933,40.6707,1.0000
kitti,3,1000000,pico_tree,92.482,0.8873,1.0000
kitti,3,1000000,fastann,0.001,3413.4898,1.0000
kitti,3,1000000,pcl_kdtree,135.578,1.6257,1.0000
kitti,3,1000000,libkdtree,1153.809,4.0987,1.0000
kitti,3,1000000,brute_force,0.000,1788.2809,1.0000
kitti,3,2000000,proposed,222.262,1.1691,1.0000
kitti,3,2000000,flann_kdtree,309.178,1.1847,1.0000
kitti,3,2000000,libnabo,326.467,9.0493,1.0000
kitti,3,2000000,pico_tree,186.599,1.0809,1.0000
kitti,3,2000000,fastann,0.001,7156.1601,1.0000
kitti,3,2000000,pcl_kdtree,319.425,1.7971,1.0000
kitti,3,2000000,libkdtree,2456.514,4.8151,1.0000
kitti,3,2000000,brute_force,0.000,3597.4007,1.0000
highdim,32,100000,proposed,33.318,51.3334,1.0000
highdim,32,100000,flann_kdtree,83.780,21.3969,1.0000
highdim,32,100000,flann_4rand,222.764,39.3383,1.0000
highdim,32,100000,libnabo,30.722,154.6598,1.0000
highdim,32,100000,pico_tree,30.344,45.1838,1.0000
highdim,32,100000,fastann,0.001,764.6031,1.0000
highdim,32,100000,hnsw_approx,11208.094,89.8440,0.9995
highdim,32,100000,brute_force,0.000,1176.6097,1.0000
highdim,64,100000,proposed,50.063,274.8814,1.0000
highdim,64,100000,flann_kdtree,161.656,100.7917,1.0000
highdim,64,100000,flann_4rand,309.543,42.4171,0.9985
highdim,64,100000,libnabo,36.560,735.7114,1.0000
highdim,64,100000,pico_tree,43.569,267.6034,1.0000
highdim,64,100000,fastann,0.001,1426.2237,1.0000
highdim,64,100000,hnsw_approx,13484.341,112.9273,0.9990
highdim,64,100000,brute_force,0.000,2901.9111,1.0000
highdim,128,100000,proposed,77.808,1901.7422,1.0000
highdim,128,100000,flann_kdtree,366.938,660.0232,1.0000
highdim,128,100000,flann_4rand,425.209,45.9845,0.9925
highdim,128,100000,libnabo,45.995,3777.3392,1.0000
highdim,128,100000,pico_tree,69.036,1865.1980,1.0000
highdim,128,100000,fastann,0.001,2721.5112,1.0000
highdim,128,100000,hnsw_approx,18397.005,169.2845,0.9975
highdim,128,100000,brute_force,0.000,7322.1645,1.0000
